Gene_accession no.,Class,amr_gene,amr_allele,Phenotype,PMID,Mechanism of resistance,Notes,Required_gene,Reference
blaOXA-431_1_KM979378,Beta-lactam,blaOXA,blaOXA-431,Unknown,28925528,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;ISAba1 insertion into the promoter region is required for carbapenem resistance,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-432_1_KM979379,Beta-lactam,blaOXA,blaOXA-432,Unknown,28925528,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;ISAba1 insertion into the promoter region is required for carbapenem resistance,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-433_1_KM979380,Beta-lactam,blaOXA,blaOXA-433,Unknown,28925528,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;ISAba1 insertion into the promoter region is required for carbapenem resistance,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-435_1_KP144324,Beta-lactam,blaOXA,blaOXA-435,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-23-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-436_1_KT959105,Beta-lactam,blaOXA,blaOXA-436,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-48-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-437_1_KP410856,Beta-lactam,blaOXA,blaOXA-437,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-24-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-438_1_KP410734,Beta-lactam,blaOXA,blaOXA-438,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-48-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-439_1_KP727573,Beta-lactam,blaOXA,blaOXA-439,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-48-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-440_1_KP727574,Beta-lactam,blaOXA,blaOXA-440,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-23-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-441_1_JX865394,Beta-lactam,blaOXA,blaOXA-441,Unknown,23264451,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-442_1_KP844571,Beta-lactam,blaOXA,blaOXA-442,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-443_1_LC030178,Beta-lactam,blaOXA,blaOXA-443,Unknown,25953190,Enzymatic inactivation,Class D;OXA-22-like;Natural in Ralstonia mannitolilytica;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-444_1_CP010800,Beta-lactam,blaOXA,blaOXA-444,Unknown,25953190,Enzymatic inactivation,Class D;OXA-60-like;Natural in Ralstonia mannitolilytica;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-446_1_KR061495,Beta-lactam,blaOXA,blaOXA-446,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-184-like;Natural in Campylobacter jejuni;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-447_1_KR061496,Beta-lactam,blaOXA,blaOXA-447,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-184-like;Natural in Campylobacter jejuni;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-448_1_KR061497,Beta-lactam,blaOXA,blaOXA-448,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-184-like;Natural in Campylobacter jejuni;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-449_1_KR061498,Beta-lactam,blaOXA,blaOXA-449,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-184-like;Natural in Campylobacter jejuni;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-450_1_KR061502,Beta-lactam,blaOXA,blaOXA-450,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-61-like;Natural in Campylobacter coli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-451_1_KR061504,Beta-lactam,blaOXA,blaOXA-451,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-61-like;Natural in Campylobacter jejuni;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-452_1_KR061505,Beta-lactam,blaOXA,blaOXA-452,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-61-like;Natural in Campylobacter jejuni;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-453_1_KR061507,Beta-lactam,blaOXA,blaOXA-453,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-61-like;Natural in Campylobacter jejuni;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-454_1_LC037981,Beta-lactam,blaOXA,blaOXA-454,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-10-like;Natural in Delftia acidovorans;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-455_1_KP903885,Beta-lactam,blaOXA,blaOXA-455,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-243-like;Natural in Achromobacter insuavis;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-457_1_KP903887,Beta-lactam,blaOXA,blaOXA-457,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-243-like;Natural in Achromobacter insuavis;Alternative name blaOXA-456;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-458_1_KP903888,Beta-lactam,blaOXA,blaOXA-458,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-243-like;Natural in Achromobacter sp. 2015clin4ach;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-459_1_KP903889,Beta-lactam,blaOXA,blaOXA-459,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-243-like;Natural in Achromobacter insuavis;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-460_1_KR061508,Beta-lactam,blaOXA,blaOXA-460,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-61-like;Natural in Campylobacter coli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-461_1_KR061509,Beta-lactam,blaOXA,blaOXA-461,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-61-like;Natural in Campylobacter jejuni;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-464_1_KU721146,Beta-lactam,blaOXA,blaOXA-464,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-464-like;Natural in Arcobacter butzleri;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-465_1_KR061500,Beta-lactam,blaOXA,blaOXA-465,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-184-like;Natural in Campylobacter jejuni;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-466_1_KR061501,Beta-lactam,blaOXA,blaOXA-466,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-184-like;Natural in Campylobacter jejuni;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-470_1_KR182163,Beta-lactam,blaOXA,blaOXA-470,Unknown,26315325,Enzymatic inactivation,Class D;OXA-63-like;Natural in Brachyspira pilosicoli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-471_1_EU086833,Beta-lactam,blaOXA,blaOXA-471,Unknown,18719182,Enzymatic inactivation,Class D;OXA-63-like;Natural in Brachyspira pilosicoli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-472_1_KR182165,Beta-lactam,blaOXA,blaOXA-472,Unknown,26315325,Enzymatic inactivation,Class D;OXA-63-like;Natural in Brachyspira pilosicoli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-473_1_KR182166,Beta-lactam,blaOXA,blaOXA-473,Unknown,26315325,Enzymatic inactivation,Class D;OXA-63-like;Natural in Brachyspira pilosicoli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-474_1_KR182167,Beta-lactam,blaOXA,blaOXA-474,Unknown,26315325,Enzymatic inactivation,Class D;OXA-63-like;Natural in Brachyspira pilosicoli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-475_1_KR182168,Beta-lactam,blaOXA,blaOXA-475,Unknown,26315325,Enzymatic inactivation,Class D;OXA-63-like;Natural in Brachyspira pilosicoli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-476_1_KR182169,Beta-lactam,blaOXA,blaOXA-476,Unknown,26315325,Enzymatic inactivation,Class D;OXA-63-like;Natural in Brachyspira pilosicoli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-477_1_KR182170,Beta-lactam,blaOXA,blaOXA-477,Unknown,26315325,Enzymatic inactivation,Class D;OXA-63-like;Natural in Brachyspira pilosicoli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-478_1_KR182171,Beta-lactam,blaOXA,blaOXA-478,Unknown,26315325,Enzymatic inactivation,Class D;OXA-63-like;Natural in Brachyspira pilosicoli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-479_1_KR182172,Beta-lactam,blaOXA,blaOXA-479,Unknown,26315325,Enzymatic inactivation,Class D;OXA-63-like;Natural in Brachyspira pilosicoli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-480_1_KR872296,Beta-lactam,blaOXA,blaOXA-480,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-482_1_KP264124,Beta-lactam,blaOXA,blaOXA-482,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-23-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-483_1_KP264125,Beta-lactam,blaOXA,blaOXA-483,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-23-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-484_1_KR401105,Beta-lactam,blaOXA,blaOXA-484,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-48-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-485_1_LLNM01000004,Beta-lactam,blaOXA,blaOXA-485,Unknown,26604259,Enzymatic inactivation,Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-486_1_AY597426,Beta-lactam,blaOXA,blaOXA-486,Unknown,16120476,Enzymatic inactivation,Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;Alternative name poxB8;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-488_1_CP017969,Beta-lactam,blaOXA,blaOXA-488,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-489_1_CP013733,Beta-lactam,blaOXA,blaOXA-489,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-61-like;Natural in Campylobacter coli;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-490_1_KU721147,Beta-lactam,blaOXA,blaOXA-490,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-464-like;Natural in Arcobacter butzleri;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-491_1_KU721148,Beta-lactam,blaOXA,blaOXA-491,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-464-like;Natural in Arcobacter butzleri;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-493_1_KU739135,Beta-lactam,blaOXA,blaOXA-493,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-493-like;Natural in Campylobacter lari;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-494_1_AY597430,Beta-lactam,blaOXA,blaOXA-494,Unknown,16120476,Enzymatic inactivation,Class D;OXA-50-like;Natural in Pseudomonas aeruginosa;Alternative name poxB12;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-496_1_KT200608,Beta-lactam,blaOXA,blaOXA-496,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-134-like;Natural in Acinetobacter lwoffii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-497_1_LKJZ01000136,Beta-lactam,blaOXA,blaOXA-497,Unknown,26824353,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-499_1_KT964029,Beta-lactam,blaOXA,blaOXA-499,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-143-like;Natural in Acinetobacter pittii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-500_1_JMNQ01000002,Beta-lactam,blaOXA,blaOXA-500,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-213-like;Natural in Acinetobacter baumannii 1451147;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-501_1_KU167110,Beta-lactam,blaOXA,blaOXA-501,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-213-like;Natural in Acinetobacter pittii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-502_1_KU167111,Beta-lactam,blaOXA,blaOXA-502,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-213-like;Natural in Acinetobacter pittii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-503_1_KU167109,Beta-lactam,blaOXA,blaOXA-503,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-213-like;Natural in Acinetobacter pittii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-505_1_KU531433,Beta-lactam,blaOXA,blaOXA-505,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-48-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-506_1_KU571454,Beta-lactam,blaOXA,blaOXA-506,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-213-like;Natural in Acinetobacter pittii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-507_1_KU551305,Beta-lactam,blaOXA,blaOXA-507,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-508_1_KU596972,Beta-lactam,blaOXA,blaOXA-508,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-509_1_KU692025,Beta-lactam,blaOXA,blaOXA-509,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-510_1_JX865393,Beta-lactam,blaOXA,blaOXA-510,Unknown,23264451,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-511_1_KU710720,Beta-lactam,blaOXA,blaOXA-511,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-512_1_KU726870,Beta-lactam,blaOXA,blaOXA-512,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-58-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-513_1_KU323972,Beta-lactam,blaOXA,blaOXA-513,Unknown,26778615,Enzymatic inactivation,Class D;OXA-243-like;Natural in Achromobacter insuavis;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-514_1_KU866382,Beta-lactam,blaOXA,blaOXA-514,Unknown,27855066,Enzymatic inactivation,Class D;OXA-48-like;Natural in Shewanella sp. 10A;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-515_1_KU866383,Beta-lactam,blaOXA,blaOXA-515,Unknown,27855066,Enzymatic inactivation,Class D;OXA-48-like;Natural in Shewanella sp. W17;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-516_1_KU871391,Beta-lactam,blaOXA,blaOXA-516,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-517_1_KU878974,Beta-lactam,blaOXA,blaOXA-517,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-48-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-518_1_KU739134,Beta-lactam,blaOXA,blaOXA-518,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-493-like;Natural in Campylobacter lari;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-519_1_KX349732,Beta-lactam,blaOXA,blaOXA-519,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Ertapenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin",29866857,Enzymatic inactivation,Class D;OXA-48-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-520_1_KX388630,Beta-lactam,blaOXA,blaOXA-520,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-10-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-521_1_KX462701,Beta-lactam,blaOXA,blaOXA-521,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-522_1_KX599408,Beta-lactam,blaOXA,blaOXA-522,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-213-like;Natural in Acinetobacter sp. MRSN7664;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-523_1_KX599401,Beta-lactam,blaOXA,blaOXA-523,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-524_1_KX599402,Beta-lactam,blaOXA,blaOXA-524,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-525_1_KX599406,Beta-lactam,blaOXA,blaOXA-525,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-526_1_KX599409,Beta-lactam,blaOXA,blaOXA-526,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-213-like;Natural in Acinetobacter sp. MRSN7369;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-527_1_KX599404,Beta-lactam,blaOXA,blaOXA-527,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter sp. MRSN7700;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-528_1_KX599407,Beta-lactam,blaOXA,blaOXA-528,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-529_1_KX599405,Beta-lactam,blaOXA,blaOXA-529,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-530_1_KX599398,Beta-lactam,blaOXA,blaOXA-530,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-531_1_KX599400,Beta-lactam,blaOXA,blaOXA-531,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-532_1_KX609247,Beta-lactam,blaOXA,blaOXA-532,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-533_1_KX668472,Beta-lactam,blaOXA,blaOXA-533,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-213-like;Natural in Acinetobacter pittii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-534_1_KX714285,Beta-lactam,blaOXA,blaOXA-534,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-1-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-535_1_KX828709,Beta-lactam,blaOXA,blaOXA-535,Unknown,Unpublished,Enzymatic inactivation,Class D;;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-536_1_KX859240,Beta-lactam,blaOXA,blaOXA-536,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-537_1_KX360747,Beta-lactam,blaOXA,blaOXA-537,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-134-like;Natural in Acinetobacter schindleri;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-538_1_KX827284,Beta-lactam,blaOXA,blaOXA-538,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-48-like;Natural in Shewanella xiamenensis;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-539_1_KY094077,Beta-lactam,blaOXA,blaOXA-539,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Ceftazidime, Ceftazidime+Avibactam, Piperacillin",28674059,Enzymatic inactivation,Class D;OXA-2-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-540_1_KJ138219,Beta-lactam,blaOXA,blaOXA-540,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-2-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-541_1_FM179467,Beta-lactam,blaOXA,blaOXA-541,Unknown,19095681,Enzymatic inactivation,Class D;OXA-2-like;;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
blaOXA-545_1_KY674541,Beta-lactam,blaOXA,blaOXA-545,Unknown,Unpublished,Enzymatic inactivation,Class D;OXA-51-like;Natural in Acinetobacter baumannii AB25C30;;,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
